,District.Name,Neighborhood.Name,Year,Number
0,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",2013,22769
1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",2014,22358
2,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",2015,22457
3,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",2016,22306
4,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",2017,22721
5,Ciutat Vella,el Barri Gòtic,2013,16267
6,Ciutat Vella,el Barri Gòtic,2014,15734
7,Ciutat Vella,el Barri Gòtic,2015,15484
8,Ciutat Vella,el Barri Gòtic,2016,15614
9,Ciutat Vella,el Barri Gòtic,2017,16062
10,Ciutat Vella,el Raval,2013,48800
11,Ciutat Vella,el Raval,2014,47489
12,Ciutat Vella,el Raval,2015,47142
13,Ciutat Vella,el Raval,2016,47129
14,Ciutat Vella,el Raval,2017,47608
15,Ciutat Vella,la Barceloneta,2013,15503
16,Ciutat Vella,la Barceloneta,2014,15104
17,Ciutat Vella,la Barceloneta,2015,15032
18,Ciutat Vella,la Barceloneta,2016,15021
19,Ciutat Vella,la Barceloneta,2017,14996
20,Eixample,Sant Antoni,2013,38260
21,Eixample,Sant Antoni,2014,38096
22,Eixample,Sant Antoni,2015,38033
23,Eixample,Sant Antoni,2016,38184
24,Eixample,Sant Antoni,2017,38345
25,Eixample,el Fort Pienc,2013,31738
26,Eixample,el Fort Pienc,2014,31494
27,Eixample,el Fort Pienc,2015,31543
28,Eixample,el Fort Pienc,2016,31653
29,Eixample,el Fort Pienc,2017,32016
30,Eixample,l'Antiga Esquerra de l'Eixample,2013,41773
31,Eixample,l'Antiga Esquerra de l'Eixample,2014,41717
32,Eixample,l'Antiga Esquerra de l'Eixample,2015,41664
33,Eixample,l'Antiga Esquerra de l'Eixample,2016,41854
34,Eixample,l'Antiga Esquerra de l'Eixample,2017,42284
35,Eixample,la Dreta de l'Eixample,2013,43384
36,Eixample,la Dreta de l'Eixample,2014,43340
37,Eixample,la Dreta de l'Eixample,2015,43556
38,Eixample,la Dreta de l'Eixample,2016,43644
39,Eixample,la Dreta de l'Eixample,2017,44052
40,Eixample,la Nova Esquerra de l'Eixample,2013,57819
41,Eixample,la Nova Esquerra de l'Eixample,2014,57619
42,Eixample,la Nova Esquerra de l'Eixample,2015,57665
